Offset,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl
,,,,,,154.65,1, ,7,,109.05,1, ,3,,96.15,1, ,6
,,,,,,154.8,1, ,7,,109.125,1, ,3,,96.225,1, ,8
,,,,,,154.95,1, ,8,,109.35,2, ,1,,96.3,1, ,1
,,,,,,155.1,1, ,8,,109.5,2, ,8,,96.375,1, ,4
,,,,,,155.25,1, ,5,,109.65,2, ,4,,96.45,1, ,6
,,,,,,155.4,1, ,5,,109.725,2, ,2,,96.525,1, ,4
,,,,,,155.55,1, ,8,,109.8,2, ,1,,96.6,1, ,6
,,,,,,155.7,1, ,3,,109.95,2, ,4,,96.675,1, ,2
,,,,,,156.6,1, ,2,,110.025,2, ,7,,96.75,1, ,3
,,,,,,157.5,2, ,3,,110.1,2, ,8,,96.825,1, ,4
,,,,,,157.95,2, ,6,,110.25,2, ,5,,96.9,1, ,5
,,,,,,158.4,2, ,7,,110.4,3, ,2,,96.975,1, ,4
,,,,,,158.7,2, ,7,,110.55,3, ,6,,97.05,1, ,8
,,,,,,159,2, ,5,,110.625,3, ,1,,97.125,1, ,8
,,,,,,159.15,2, ,7,,110.7,3, ,2,,97.2,1, ,5
,,,,,,159.3,2, ,4,,110.85,3, ,7,,97.35,1, ,8
,,,,,,159.45,2, ,2,,110.925,3, ,8,,97.425,1, ,6
,,,,,,159.9,2, ,3,,111.15,3, ,2,,97.5,1, ,5
,,,,,,160.35,2, ,3,,111.225,3, ,5,,97.65,1, ,7
,,,,,,160.8,2, ,7,,111.3,3, ,4,,97.8,1, ,2
,,,,,,161.1,2, ,7,,111.45,3, ,6,,97.875,1, ,3
,,,,,,161.25,2, ,2,,111.6,4, ,2,,97.95,1, ,6
,,,,,,1000000,,,,,111.75,4, ,8,,98.1,2, ,4
,,,,,,,,,,,111.825,4, ,4,,98.175,2, ,7
,,,,,,,,,,,111.9,4, ,4,,98.25,2, ,1
,,,,,,,,,,,112.05,4, ,3,,98.4,1, ,3
,,,,,,,,,,,112.125,4, ,6,,98.55,1, ,2
,,,,,,,,,,,112.2,4, ,4,,98.625,1, ,1
,,,,,,,,,,,112.35,4, ,7,,98.7,1, ,8
,,,,,,,,,,,112.425,4, ,2,,98.775,1, ,3
,,,,,,,,,,,112.5,4, ,8,,98.85,1, ,8
,,,,,,,,,,,112.65,4, ,2,,99.15,2, ,2
,,,,,,,,,,,112.8,1, ,4,,99.225,2, ,1
,,,,,,,,,,,112.95,1, ,3,,99.3,2, ,6
,,,,,,,,,,,113.025,1, ,8,,99.45,2, ,1
,,,,,,,,,,,113.1,1, ,7,,99.525,2, ,3
,,,,,,,,,,,113.25,1, ,2,,99.6,2, ,4
,,,,,,,,,,,113.325,1, ,8,,99.75,3, ,7
,,,,,,,,,,,113.55,1, ,2,,99.825,3, ,7
,,,,,,,,,,,113.625,1, ,8,,99.975,4, ,4
,,,,,,,,,,,113.7,1, ,7,,100.05,4, ,7
,,,,,,,,,,,113.85,1, ,3,,100.2,3, ,7
,,,,,,,,,,,114.15,2, ,8,,100.275,3, ,2
,,,,,,,,,,,114.375,2, ,1,,100.35,3, ,8
,,,,,,,,,,,114.6,2, ,8,,100.5,2, ,4
,,,,,,,,,,,114.825,2, ,4,,100.575,2, ,8
,,,,,,,,,,,115.05,2, ,6,,100.65,2, ,1
,,,,,,,,,,,115.2,3, ,4,,100.8,1, ,5
,,,,,,,,,,,115.5,3, ,3,,100.95,1, ,4
,,,,,,,,,,,115.65,3, ,1,,101.025,1, ,1
,,,,,,,,,,,115.95,3, ,8,,101.1,1, ,8
,,,,,,,,,,,116.1,3, ,5,,101.25,1, ,7
,,,,,,,,,,,116.25,3, ,7,,101.325,1, ,4
,,,,,,,,,,,116.4,4, ,6,,101.55,1, ,4
,,,,,,,,,,,116.55,4, ,1,,101.625,1, ,4
,,,,,,,,,,,116.625,4, ,6,,101.7,1, ,8
,,,,,,,,,,,116.7,4, ,2,,101.775,1, ,1
,,,,,,,,,,,116.85,4, ,2,,101.85,1, ,4
,,,,,,,,,,,117,4, ,8,,101.925,1, ,1
,,,,,,,,,,,117.15,4, ,8,,102,1, ,6
,,,,,,,,,,,117.3,4, ,5,,102.15,2, ,5
,,,,,,,,,,,117.6,1, ,2,,102.225,2, ,6
,,,,,,,,,,,117.75,1, ,1,,102.375,3, ,4
,,,,,,,,,,,117.825,1, ,7,,102.45,3, ,6
,,,,,,,,,,,117.9,1, ,5,,102.6,4, ,6
,,,,,,,,,,,118.05,1, ,2,,102.675,4, ,6
,,,,,,,,,,,118.2,1, ,5,,102.75,4, ,3
,,,,,,,,,,,118.35,1, ,2,,102.9,3, ,6
,,,,,,,,,,,118.5,1, ,5,,102.975,3, ,2
,,,,,,,,,,,118.65,1, ,7,,103.05,3, ,2
,,,,,,,,,,,118.8,2, ,2,,103.2,1, ,5
,,,,,,,,,,,118.95,2, ,5,,103.35,1, ,1
,,,,,,,,,,,119.025,2, ,4,,103.425,1, ,2
,,,,,,,,,,,119.1,2, ,8,,103.5,1, ,7
,,,,,,,,,,,119.25,2, ,6,,103.575,1, ,3
,,,,,,,,,,,119.55,2, ,3,,103.65,1, ,2
,,,,,,,,,,,119.7,2, ,7,,103.95,2, ,4
,,,,,,,,,,,120,3, ,8,,104.025,2, ,6
,,,,,,,,,,,120.15,3, ,6,,104.1,2, ,1
,,,,,,,,,,,120.225,3, ,6,,104.25,2, ,1
,,,,,,,,,,,120.3,3, ,1,,104.325,2, ,3
,,,,,,,,,,,120.45,3, ,4,,104.4,2, ,1
,,,,,,,,,,,120.6,3, ,7,,104.55,3, ,4
,,,,,,,,,,,120.75,3, ,3,,104.625,3, ,3
,,,,,,,,,,,120.9,3, ,1,,104.775,4, ,7
,,,,,,,,,,,121.05,3, ,7,,104.85,4, ,8
,,,,,,,,,,,121.2,4, ,3,,105,3, ,4
,,,,,,,,,,,121.425,4, ,2,,105.075,3, ,2
,,,,,,,,,,,121.65,4, ,5,,105.15,3, ,7
,,,,,,,,,,,121.95,4, ,6,,105.3,2, ,4
,,,,,,,,,,,122.1,4, ,2,,105.375,2, ,6
,,,,,,,,,,,122.25,4, ,6,,105.45,2, ,1
,,,,,,,,,,,122.4,1, ,1,,105.6,1, ,7
,,,,,,,,,,,122.55,1, ,7,,105.75,1, ,8
,,,,,,,,,,,122.625,1, ,3,,105.825,1, ,7
,,,,,,,,,,,122.7,1, ,4,,105.9,1, ,1
,,,,,,,,,,,122.85,1, ,8,,106.05,1, ,8
,,,,,,,,,,,123,1, ,3,,106.125,1, ,3
,,,,,,,,,,,123.15,1, ,8,,106.35,1, ,2
,,,,,,,,,,,123.3,1, ,4,,106.425,1, ,8
,,,,,,,,,,,123.45,1, ,2,,106.5,1, ,1
,,,,,,,,,,,123.6,2, ,5,,106.575,1, ,6
,,,,,,,,,,,123.825,2, ,8,,106.65,1, ,2
,,,,,,,,,,,124.05,2, ,6,,106.725,1, ,2
,,,,,,,,,,,124.35,2, ,1,,106.8,1, ,1
,,,,,,,,,,,124.5,2, ,7,,106.95,2, ,8
,,,,,,,,,,,124.65,2, ,8,,107.025,2, ,1
,,,,,,,,,,,124.8,3, ,5,,107.175,3, ,7
,,,,,,,,,,,124.95,3, ,3,,107.25,3, ,1
,,,,,,,,,,,125.025,3, ,2,,107.4,4, ,6
,,,,,,,,,,,125.1,3, ,1,,107.475,4, ,3
,,,,,,,,,,,125.25,3, ,1,,107.55,4, ,7
,,,,,,,,,,,125.55,3, ,4,,107.7,3, ,5
,,,,,,,,,,,125.7,3, ,1,,107.775,3, ,7
,,,,,,,,,,,125.85,3, ,3,,107.85,3, ,2
,,,,,,,,,,,126,4, ,2,,108,1, ,4
,,,,,,,,,,,126.225,4, ,8,,108.15,1, ,7
,,,,,,,,,,,126.45,4, ,2,,108.225,1, ,7
,,,,,,,,,,,126.675,4, ,7,,108.3,1, ,4
,,,,,,,,,,,126.9,4, ,7,,108.375,1, ,2
,,,,,,,,,,,127.2,1, ,6,,108.45,1, ,3
,,,,,,,,,,,127.35,1, ,2,,108.75,2, ,8
,,,,,,,,,,,127.425,1, ,6,,108.825,2, ,4
,,,,,,,,,,,127.5,1, ,4,,108.9,2, ,7
,,,,,,,,,,,127.65,1, ,4,,109.05,2, ,5
,,,,,,,,,,,127.8,1, ,1,,109.125,2, ,3
,,,,,,,,,,,127.95,1, ,5,,109.2,2, ,5
,,,,,,,,,,,128.1,1, ,6,,109.35,3, ,5
,,,,,,,,,,,128.25,1, ,7,,109.425,3, ,8
,,,,,,,,,,,128.4,2, ,1,,109.575,4, ,8
,,,,,,,,,,,128.55,2, ,3,,109.65,4, ,4
,,,,,,,,,,,128.625,2, ,5,,109.8,3, ,3
,,,,,,,,,,,128.7,2, ,6,,109.875,3, ,5
,,,,,,,,,,,128.85,2, ,6,,109.95,3, ,3
,,,,,,,,,,,129.15,2, ,6,,110.1,2, ,1
,,,,,,,,,,,129.3,2, ,6,,110.175,2, ,3
,,,,,,,,,,,129.6,3, ,4,,110.25,2, ,7
,,,,,,,,,,,129.75,3, ,8,,110.4,1, ,8
,,,,,,,,,,,129.825,3, ,3,,110.55,1, ,8
,,,,,,,,,,,129.9,3, ,1,,110.625,1, ,3
,,,,,,,,,,,130.05,3, ,2,,110.7,1, ,4
,,,,,,,,,,,130.2,3, ,4,,110.85,1, ,4
,,,,,,,,,,,130.35,3, ,4,,110.925,1, ,5
,,,,,,,,,,,130.5,3, ,3,,111.15,1, ,6
,,,,,,,,,,,130.65,3, ,6,,111.225,1, ,7
,,,,,,,,,,,130.8,4, ,6,,111.3,1, ,3
,,,,,,,,,,,131.025,4, ,8,,111.375,1, ,5
,,,,,,,,,,,131.25,4, ,8,,111.45,1, ,3
,,,,,,,,,,,131.475,4, ,7,,111.525,1, ,5
,,,,,,,,,,,131.7,4, ,2,,111.6,1, ,5
,,,,,,,,,,,132,1, ,5,,111.75,2, ,4
,,,,,,,,,,,132.15,1, ,2,,111.825,2, ,4
,,,,,,,,,,,132.225,1, ,3,,111.975,3, ,1
,,,,,,,,,,,132.3,1, ,6,,112.05,3, ,6
,,,,,,,,,,,132.45,1, ,6,,112.2,4, ,1
,,,,,,,,,,,132.6,1, ,7,,112.275,4, ,8
,,,,,,,,,,,132.75,1, ,8,,112.35,4, ,7
,,,,,,,,,,,132.825,1, ,2,,112.5,3, ,8
,,,,,,,,,,,132.9,1, ,2,,112.575,3, ,6
,,,,,,,,,,,133.05,1, ,5,,112.65,3, ,7
,,,,,,,,,,,133.2,2, ,1,,112.8,2, ,1
,,,,,,,,,,,133.35,2, ,4,,112.95,1, ,7
,,,,,,,,,,,133.5,2, ,8,,113.025,1, ,5
,,,,,,,,,,,133.65,2, ,4,,113.1,1, ,7
,,,,,,,,,,,133.8,2, ,3,,113.25,2, ,4
,,,,,,,,,,,134.1,2, ,6,,113.4,3, ,6
,,,,,,,,,,,134.175,2, ,1,,113.475,3, ,5
,,,,,,,,,,,134.25,2, ,4,,113.55,3, ,7
,,,,,,,,,,,134.4,3, ,2,,113.7,2, ,1
,,,,,,,,,,,134.55,3, ,3,,113.85,4, ,8
,,,,,,,,,,,134.625,3, ,5,,114.15,3, ,7
,,,,,,,,,,,134.7,3, ,3,,114.375,2, ,8
,,,,,,,,,,,134.85,3, ,6,,114.6,1, ,7
,,,,,,,,,,,135.15,3, ,1,,114.825,2, ,7
,,,,,,,,,,,135.225,3, ,3,,115.05,1, ,1
,,,,,,,,,,,135.3,3, ,8,,115.2,1, ,5
,,,,,,,,,,,135.45,3, ,8,,115.35,1, ,5
,,,,,,,,,,,135.6,4, ,7,,115.425,1, ,6
,,,,,,,,,,,135.75,4, ,7,,115.5,1, ,2
,,,,,,,,,,,135.9,4, ,8,,115.65,2, ,6
,,,,,,,,,,,136.05,4, ,8,,115.8,2, ,3
,,,,,,,,,,,136.2,4, ,1,,115.95,2, ,7
,,,,,,,,,,,136.5,4, ,2,,116.1,2, ,5
,,,,,,,,,,,136.8,1, ,5,,116.25,2, ,8
,,,,,,,,,,,137.1,1, ,1,,116.325,2, ,3
,,,,,,,,,,,137.175,1, ,2,,116.4,2, ,1
,,,,,,,,,,,137.25,1, ,8,,116.55,3, ,2
,,,,,,,,,,,137.325,1, ,8,,116.625,3, ,8
,,,,,,,,,,,137.4,1, ,6,,116.7,3, ,3
,,,,,,,,,,,137.625,1, ,7,,116.85,4, ,7
,,,,,,,,,,,137.85,1, ,2,,116.925,4, ,5
,,,,,,,,,,,138.15,1, ,6,,117,4, ,3
,,,,,,,,,,,138.3,1, ,5,,117.075,4, ,5
,,,,,,,,,,,138.6,1, ,2,,117.15,4, ,7
,,,,,,,,,,,138.825,1, ,1,,117.225,4, ,8
,,,,,,,,,,,139.05,1, ,1,,117.3,4, ,6
,,,,,,,,,,,139.5,1, ,7,,117.375,4, ,7
,,,,,,,,,,,139.725,1, ,6,,117.45,4, ,4
,,,,,,,,,,,139.95,1, ,5,,117.525,4, ,1
,,,,,,,,,,,140.1,1, ,7,,117.6,4, ,4
,,,,,,,,,,,140.25,1, ,3,,117.75,1, ,2
,,,,,,,,,,,140.4,1, ,3,,117.825,1, ,4
,,,,,,,,,,,140.5,1, ,1,,117.9,1, ,8
,,,,,,,,,,,140.6,1, ,6,,118.05,2, ,7
,,,,,,,,,,,140.7,1, ,1,,118.2,2, ,5
,,,,,,,,,,,141,1, ,2,,118.35,3, ,7
,,,,,,,,,,,141.1,1, ,4,,118.425,3, ,3
,,,,,,,,,,,141.15,1, ,7,,118.5,3, ,5
,,,,,,,,,,,141.2,1, ,4,,118.65,3, ,2
,,,,,,,,,,,141.3,1, ,6,,118.8,2, ,7
,,,,,,,,,,,141.4,1, ,3,,118.95,2, ,3
,,,,,,,,,,,141.5,1, ,2,,119.025,2, ,7
,,,,,,,,,,,141.6,1, ,1,,119.175,2, ,1
,,,,,,,,,,,141.9,1, ,6,,119.25,2, ,8
,,,,,,,,,,,141.975,1, ,6,,119.4,3, ,6
,,,,,,,,,,,142.05,1, ,5,,119.475,3, ,3
,,,,,,,,,,,142.125,1, ,5,,119.55,3, ,2
,,,,,,,,,,,142.2,1, ,3,,119.7,4, ,6
,,,,,,,,,,,142.425,1, ,1,,119.775,4, ,6
,,,,,,,,,,,142.65,1, ,3,,119.85,4, ,2
,,,,,,,,,,,142.8,1, ,8,,120,2, ,1
,,,,,,,,,,,142.9,1, ,1,,120.15,2, ,7
,,,,,,,,,,,143,1, ,8,,120.225,2, ,6
,,,,,,,,,,,143.1,1, ,7,,120.3,2, ,8
,,,,,,,,,,,143.25,1, ,6,,120.45,3, ,8
,,,,,,,,,,,143.55,1, ,5,,120.6,3, ,5
,,,,,,,,,,,143.7,1, ,4,,120.75,3, ,1
,,,,,,,,,,,143.85,1, ,5,,120.9,3, ,3
,,,,,,,,,,,143.925,1, ,6,,120.975,3, ,5
,,,,,,,,,,,144.15,1, ,3,,121.05,3, ,1
,,,,,,,,,,,144.225,1, ,4,,121.2,1, ,8
,,,,,,,,,,,144.3,1, ,8,,121.35,2, ,5
,,,,,,,,,,,144.45,1, ,1,,121.425,2, ,6
,,,,,,,,,,,144.525,1, ,7,,121.575,3, ,4
,,,,,,,,,,,144.6,1, ,5,,121.65,3, ,3
,,,,,,,,,,,144.675,1, ,7,,121.8,4, ,5
,,,,,,,,,,,144.75,1, ,2,,121.875,4, ,3
,,,,,,,,,,,144.9,1, ,6,,121.95,4, ,8
,,,,,,,,,,,144.95,1, ,2,,122.1,1, ,6
,,,,,,,,,,,145,1, ,2,,122.175,1, ,7
,,,,,,,,,,,145.05,1, ,7,,122.25,1, ,5
,,,,,,,,,,,145.125,1, ,8,,122.4,2, ,4
,,,,,,,,,,,145.2,1, ,1,,122.55,3, ,1
,,,,,,,,,,,145.3,1, ,4,,122.625,3, ,8
,,,,,,,,,,,145.4,1, ,7,,122.7,3, ,5
,,,,,,,,,,,145.5,1, ,2,,122.85,4, ,6
,,,,,,,,,,,145.6,1, ,1,,123,4, ,1
,,,,,,,,,,,145.7,1, ,6,,123.15,4, ,4
,,,,,,,,,,,145.8,1, ,7,,123.3,3, ,6
,,,,,,,,,,,145.85,1, ,3,,123.375,3, ,5
,,,,,,,,,,,145.9,1, ,2,,123.45,3, ,5
,,,,,,,,,,,146,1, ,3,,123.6,1, ,2
,,,,,,,,,,,146.1,1, ,8,,123.75,2, ,7
,,,,,,,,,,,146.15,1, ,2,,123.825,2, ,4
,,,,,,,,,,,146.2,1, ,2,,123.975,3, ,8
,,,,,,,,,,,146.3,1, ,4,,124.05,3, ,2
,,,,,,,,,,,146.4,1, ,6,,124.2,4, ,4
,,,,,,,,,,,146.7,1, ,6,,124.275,4, ,2
,,,,,,,,,,,146.775,1, ,4,,124.35,4, ,3
,,,,,,,,,,,146.85,1, ,5,,124.5,1, ,7
,,,,,,,,,,,146.925,1, ,1,,124.575,1, ,6
,,,,,,,,,,,147,1, ,3,,124.65,1, ,1
,,,,,,,,,,,147.225,1, ,1,,124.8,2, ,6
,,,,,,,,,,,147.45,1, ,2,,124.95,3, ,4
,,,,,,,,,,,147.75,1, ,4,,125.025,3, ,7
,,,,,,,,,,,147.9,1, ,4,,125.1,3, ,1
,,,,,,,,,,,148.2,1, ,8,,125.25,4, ,2
,,,,,,,,,,,148.425,1, ,5,,125.4,4, ,6
,,,,,,,,,,,148.65,1, ,7,,125.55,4, ,8
,,,,,,,,,,,149.1,1, ,3,,125.7,3, ,1
,,,,,,,,,,,149.325,1, ,3,,125.775,3, ,5
,,,,,,,,,,,149.55,1, ,7,,125.85,3, ,5
,,,,,,,,,,,149.7,1, ,7,,126,1, ,5
,,,,,,,,,,,149.85,1, ,7,,126.15,2, ,6
,,,,,,,,,,,150,1, ,5,,126.225,2, ,1
,,,,,,,,,,,150.1,1, ,6,,126.375,4, ,1
,,,,,,,,,,,150.2,1, ,2,,126.45,4, ,3
,,,,,,,,,,,150.3,1, ,4,,126.6,3, ,2
,,,,,,,,,,,150.6,1, ,6,,126.675,3, ,3
,,,,,,,,,,,150.7,1, ,3,,126.75,3, ,6
,,,,,,,,,,,150.75,1, ,7,,126.9,2, ,1
,,,,,,,,,,,150.8,1, ,5,,126.975,2, ,1
,,,,,,,,,,,150.9,1, ,6,,127.05,2, ,8
,,,,,,,,,,,151,1, ,4,,127.2,1, ,2
,,,,,,,,,,,151.1,1, ,5,,127.35,2, ,1
,,,,,,,,,,,151.2,1, ,6,,127.425,2, ,2
,,,,,,,,,,,151.5,1, ,6,,127.5,2, ,6
,,,,,,,,,,,151.575,1, ,3,,127.65,3, ,3
,,,,,,,,,,,151.65,1, ,7,,127.8,3, ,4
,,,,,,,,,,,151.725,1, ,2,,127.95,4, ,7
,,,,,,,,,,,151.8,1, ,4,,128.025,4, ,3
,,,,,,,,,,,152.025,1, ,3,,128.1,4, ,5
,,,,,,,,,,,152.25,1, ,8,,128.25,4, ,2
,,,,,,,,,,,152.4,1, ,7,,128.4,2, ,3
,,,,,,,,,,,152.5,1, ,2,,128.55,3, ,6
,,,,,,,,,,,152.6,1, ,2,,128.625,3, ,3
,,,,,,,,,,,152.7,1, ,8,,128.775,4, ,1
,,,,,,,,,,,152.85,1, ,1,,128.85,4, ,7
,,,,,,,,,,,153.15,1, ,1,,129,1, ,2
,,,,,,,,,,,153.3,1, ,1,,129.075,1, ,1
,,,,,,,,,,,153.45,1, ,3,,129.15,1, ,2
,,,,,,,,,,,153.525,1, ,3,,129.3,2, ,8
,,,,,,,,,,,153.75,1, ,7,,129.375,2, ,6
,,,,,,,,,,,153.825,1, ,5,,129.45,2, ,4
,,,,,,,,,,,153.9,1, ,3,,129.6,3, ,7
,,,,,,,,,,,154.05,1, ,3,,129.75,4, ,8
,,,,,,,,,,,154.125,1, ,4,,129.825,4, ,6
,,,,,,,,,,,154.2,1, ,5,,129.9,4, ,4
,,,,,,,,,,,154.275,1, ,6,,130.05,2, ,8
,,,,,,,,,,,154.35,1, ,3,,130.2,3, ,4
,,,,,,,,,,,154.5,1, ,4,,130.35,1, ,6
,,,,,,,,,,,154.55,1, ,4,,130.425,1, ,2
,,,,,,,,,,,154.6,1, ,1,,130.5,1, ,5
,,,,,,,,,,,154.65,1, ,6,,130.65,1, ,2
,,,,,,,,,,,154.725,1, ,6,,130.8,2, ,2
,,,,,,,,,,,154.8,1, ,7,,130.95,3, ,5
,,,,,,,,,,,154.9,1, ,7,,131.025,3, ,4
,,,,,,,,,,,155,1, ,3,,131.175,4, ,3
,,,,,,,,,,,155.1,1, ,1,,131.25,4, ,6
,,,,,,,,,,,155.2,1, ,3,,131.4,1, ,1
,,,,,,,,,,,155.3,1, ,1,,131.475,1, ,1
,,,,,,,,,,,155.4,1, ,6,,131.55,1, ,6
,,,,,,,,,,,155.45,1, ,7,,131.7,1, ,5
,,,,,,,,,,,155.5,1, ,4,,131.775,1, ,8
,,,,,,,,,,,155.6,1, ,3,,131.85,1, ,3
,,,,,,,,,,,155.7,1, ,2,,132,1, ,3
,,,,,,,,,,,155.75,1, ,5,,132.15,2, ,6
,,,,,,,,,,,155.8,1, ,5,,132.225,2, ,5
,,,,,,,,,,,155.9,1, ,8,,132.3,2, ,6
,,,,,,,,,,,156.6,1, ,4,,132.45,2, ,7
,,,,,,,,,,,157.5,2, ,3,,132.525,2, ,2
,,,,,,,,,,,157.95,2, ,6,,132.6,2, ,5
,,,,,,,,,,,158.4,2, ,7,,132.75,4, ,5
,,,,,,,,,,,158.7,2, ,7,,132.825,4, ,5
,,,,,,,,,,,159,2, ,5,,132.9,4, ,4
,,,,,,,,,,,159.15,2, ,7,,132.975,4, ,7
,,,,,,,,,,,159.3,2, ,4,,133.05,4, ,7
,,,,,,,,,,,159.45,2, ,2,,133.125,4, ,3
,,,,,,,,,,,159.9,2, ,3,,133.2,3, ,5
,,,,,,,,,,,160.35,1, ,3,,133.35,4, ,3
,,,,,,,,,,,160.8,2, ,7,,133.425,4, ,8
,,,,,,,,,,,161.1,2, ,7,,133.5,4, ,5
,,,,,,,,,,,161.25,2, ,2,,133.65,2, ,7
,,,,,,,,,,,1000000,,,,,133.725,2, ,2
,,,,,,,,,,,,,,,,133.8,2, ,5
,,,,,,,,,,,,,,,,133.95,2, ,4
,,,,,,,,,,,,,,,,134.025,2, ,5
,,,,,,,,,,,,,,,,134.1,2, ,1
,,,,,,,,,,,,,,,,134.175,2, ,7
,,,,,,,,,,,,,,,,134.25,2, ,5
,,,,,,,,,,,,,,,,134.325,2, ,1
,,,,,,,,,,,,,,,,134.4,2, ,5
,,,,,,,,,,,,,,,,134.55,1, ,7
,,,,,,,,,,,,,,,,134.625,1, ,4
,,,,,,,,,,,,,,,,134.7,1, ,4
,,,,,,,,,,,,,,,,134.85,1, ,1
,,,,,,,,,,,,,,,,134.925,1, ,7
,,,,,,,,,,,,,,,,135,1, ,4
,,,,,,,,,,,,,,,,135.15,3, ,3
,,,,,,,,,,,,,,,,135.225,3, ,6
,,,,,,,,,,,,,,,,135.3,3, ,8
,,,,,,,,,,,,,,,,135.45,4, ,7
,,,,,,,,,,,,,,,,135.525,4, ,3
,,,,,,,,,,,,,,,,135.6,1, ,8
,,,,,,,,,,,,,,,,135.75,1, ,5
,,,,,,,,,,,,,,,,135.825,1, ,5
,,,,,,,,,,,,,,,,135.9,1, ,6
,,,,,,,,,,,,,,,,136.05,2, ,3
,,,,,,,,,,,,,,,,136.2,2, ,5
,,,,,,,,,,,,,,,,136.35,2, ,1
,,,,,,,,,,,,,,,,136.5,2, ,5
,,,,,,,,,,,,,,,,136.8,1, ,4
,,,,,,,,,,,,,,,,137.1,1, ,6
,,,,,,,,,,,,,,,,137.175,1, ,6
,,,,,,,,,,,,,,,,137.25,1, ,7
,,,,,,,,,,,,,,,,137.325,1, ,1
,,,,,,,,,,,,,,,,137.4,1, ,7
,,,,,,,,,,,,,,,,137.625,1, ,5
,,,,,,,,,,,,,,,,137.85,1, ,2
,,,,,,,,,,,,,,,,138.15,1, ,2
,,,,,,,,,,,,,,,,138.3,1, ,7
,,,,,,,,,,,,,,,,138.6,1, ,8
,,,,,,,,,,,,,,,,138.825,1, ,1
,,,,,,,,,,,,,,,,139.05,1, ,6
,,,,,,,,,,,,,,,,139.5,1, ,3
,,,,,,,,,,,,,,,,139.725,1, ,2
,,,,,,,,,,,,,,,,139.95,1, ,1
,,,,,,,,,,,,,,,,140.1,1, ,2
,,,,,,,,,,,,,,,,140.25,1, ,4
,,,,,,,,,,,,,,,,140.4,1, ,2
,,,,,,,,,,,,,,,,140.5,1, ,2
,,,,,,,,,,,,,,,,140.6,1, ,7
,,,,,,,,,,,,,,,,140.7,1, ,5
,,,,,,,,,,,,,,,,141,1, ,8
,,,,,,,,,,,,,,,,141.1,1, ,5
,,,,,,,,,,,,,,,,141.15,1, ,2
,,,,,,,,,,,,,,,,141.2,1, ,1
,,,,,,,,,,,,,,,,141.3,1, ,6
,,,,,,,,,,,,,,,,141.4,1, ,4
,,,,,,,,,,,,,,,,141.5,1, ,6
,,,,,,,,,,,,,,,,141.6,1, ,3
,,,,,,,,,,,,,,,,141.9,1, ,1
,,,,,,,,,,,,,,,,141.975,1, ,8
,,,,,,,,,,,,,,,,142.05,1, ,1
,,,,,,,,,,,,,,,,142.125,1, ,3
,,,,,,,,,,,,,,,,142.2,1, ,3
,,,,,,,,,,,,,,,,142.425,1, ,5
,,,,,,,,,,,,,,,,142.65,1, ,1
,,,,,,,,,,,,,,,,142.8,1, ,3
,,,,,,,,,,,,,,,,142.9,1, ,6
,,,,,,,,,,,,,,,,143,1, ,7
,,,,,,,,,,,,,,,,143.1,1, ,3
,,,,,,,,,,,,,,,,143.25,1, ,1
,,,,,,,,,,,,,,,,143.55,1, ,6
,,,,,,,,,,,,,,,,143.7,1, ,8
,,,,,,,,,,,,,,,,143.85,1, ,5
,,,,,,,,,,,,,,,,143.925,1, ,6
,,,,,,,,,,,,,,,,144.15,1, ,5
,,,,,,,,,,,,,,,,144.225,1, ,7
,,,,,,,,,,,,,,,,144.3,1, ,7
,,,,,,,,,,,,,,,,144.45,1, ,8
,,,,,,,,,,,,,,,,144.525,1, ,4
,,,,,,,,,,,,,,,,144.6,1, ,5
,,,,,,,,,,,,,,,,144.675,1, ,3
,,,,,,,,,,,,,,,,144.75,1, ,3
,,,,,,,,,,,,,,,,144.9,1, ,8
,,,,,,,,,,,,,,,,144.95,1, ,4
,,,,,,,,,,,,,,,,145,1, ,8
,,,,,,,,,,,,,,,,145.05,1, ,4
,,,,,,,,,,,,,,,,145.125,1, ,6
,,,,,,,,,,,,,,,,145.2,1, ,6
,,,,,,,,,,,,,,,,145.3,1, ,8
,,,,,,,,,,,,,,,,145.4,1, ,1
,,,,,,,,,,,,,,,,145.5,1, ,8
,,,,,,,,,,,,,,,,145.6,1, ,3
,,,,,,,,,,,,,,,,145.7,1, ,2
,,,,,,,,,,,,,,,,145.8,1, ,2
,,,,,,,,,,,,,,,,145.85,1, ,1
,,,,,,,,,,,,,,,,145.9,1, ,4
,,,,,,,,,,,,,,,,146,1, ,7
,,,,,,,,,,,,,,,,146.1,1, ,5
,,,,,,,,,,,,,,,,146.15,1, ,2
,,,,,,,,,,,,,,,,146.2,1, ,7
,,,,,,,,,,,,,,,,146.3,1, ,5
,,,,,,,,,,,,,,,,146.4,1, ,4
,,,,,,,,,,,,,,,,146.7,1, ,8
,,,,,,,,,,,,,,,,146.775,1, ,3
,,,,,,,,,,,,,,,,146.85,1, ,1
,,,,,,,,,,,,,,,,146.925,1, ,5
,,,,,,,,,,,,,,,,147,1, ,6
,,,,,,,,,,,,,,,,147.225,1, ,8
,,,,,,,,,,,,,,,,147.45,1, ,1
,,,,,,,,,,,,,,,,147.75,1, ,5
